exporter,importer,mbd,source
CAN,USA,3.228,UN_Comtrade_HS2709_2023
RUS,CHN,2.015,UN_Comtrade_HS2709_2023
SAU,CHN,1.789,UN_Comtrade_HS2709_2023
IRQ,CHN,1.169,UN_Comtrade_HS2709_2023
SAU,JPN,1.102,UN_Comtrade_HS2709_2023
ARE,JPN,1.057,UN_Comtrade_HS2709_2023
SAU,KOR,1.015,UN_Comtrade_HS2709_2023
MYS,CHN,0.95,UN_Comtrade_HS2709_2023
ARE,CHN,0.885,UN_Comtrade_HS2709_2023
MEX,USA,0.676,UN_Comtrade_HS2709_2023
AGO,CHN,0.616,UN_Comtrade_HS2709_2023
KWT,CHN,0.505,UN_Comtrade_HS2709_2023
ARE,THA,0.458,UN_Comtrade_HS2709_2023
USA,NLD,0.438,UN_Comtrade_HS2709_2023
USA,KOR,0.409,UN_Comtrade_HS2709_2023
SAU,USA,0.359,UN_Comtrade_HS2709_2023
USA,CAN,0.344,UN_Comtrade_HS2709_2023
USA,GBR,0.344,UN_Comtrade_HS2709_2023
ARE,KOR,0.325,UN_Comtrade_HS2709_2023
USA,CHN,0.302,UN_Comtrade_HS2709_2023
USA,DEU,0.295,UN_Comtrade_HS2709_2023
KWT,KOR,0.276,UN_Comtrade_HS2709_2023
USA,SGP,0.257,UN_Comtrade_HS2709_2023
IRQ,KOR,0.244,UN_Comtrade_HS2709_2023
ARE,SGP,0.242,UN_Comtrade_HS2709_2023
SAU,MYS,0.24,UN_Comtrade_HS2709_2023
KWT,JPN,0.239,UN_Comtrade_HS2709_2023
SAU,POL,0.234,UN_Comtrade_HS2709_2023
QAT,CHN,0.217,UN_Comtrade_HS2709_2023
LBY,ITA,0.216,UN_Comtrade_HS2709_2023
IRQ,USA,0.2,UN_Comtrade_HS2709_2023
USA,ESP,0.195,UN_Comtrade_HS2709_2023
QAT,KOR,0.187,UN_Comtrade_HS2709_2023
COL,USA,0.186,UN_Comtrade_HS2709_2023
KAZ,DEU,0.178,UN_Comtrade_HS2709_2023
LBY,DEU,0.175,UN_Comtrade_HS2709_2023
IRQ,NLD,0.172,UN_Comtrade_HS2709_2023
GBR,DEU,0.168,UN_Comtrade_HS2709_2023
COL,CHN,0.162,UN_Comtrade_HS2709_2023
GBR,NLD,0.159,UN_Comtrade_HS2709_2023
USA,ITA,0.158,UN_Comtrade_HS2709_2023
NGA,USA,0.157,UN_Comtrade_HS2709_2023
SAU,THA,0.154,UN_Comtrade_HS2709_2023
KAZ,ITA,0.149,UN_Comtrade_HS2709_2023
NGA,NLD,0.141,UN_Comtrade_HS2709_2023
KAZ,CHN,0.139,UN_Comtrade_HS2709_2023
NGA,ESP,0.137,UN_Comtrade_HS2709_2023
CAN,CHN,0.131,UN_Comtrade_HS2709_2023
ECU,USA,0.131,UN_Comtrade_HS2709_2023
QAT,JPN,0.13,UN_Comtrade_HS2709_2023
NGA,IDN,0.127,UN_Comtrade_HS2709_2023
MEX,ESP,0.125,UN_Comtrade_HS2709_2023
USA,THA,0.124,UN_Comtrade_HS2709_2023
IRQ,ITA,0.124,UN_Comtrade_HS2709_2023
QAT,SGP,0.117,UN_Comtrade_HS2709_2023
VEN,USA,0.115,UN_Comtrade_HS2709_2023
KAZ,NLD,0.109,UN_Comtrade_HS2709_2023
KAZ,KOR,0.108,UN_Comtrade_HS2709_2023
SAU,SGP,0.101,UN_Comtrade_HS2709_2023
LBY,ESP,0.097,UN_Comtrade_HS2709_2023
SAU,ITA,0.094,UN_Comtrade_HS2709_2023
SAU,NLD,0.092,UN_Comtrade_HS2709_2023
SAU,ESP,0.087,UN_Comtrade_HS2709_2023
AGO,ESP,0.086,UN_Comtrade_HS2709_2023
MEX,KOR,0.08,UN_Comtrade_HS2709_2023
ECU,CHN,0.077,UN_Comtrade_HS2709_2023
SAU,IDN,0.077,UN_Comtrade_HS2709_2023
ARE,MYS,0.076,UN_Comtrade_HS2709_2023
MYS,THA,0.074,UN_Comtrade_HS2709_2023
LBY,CHN,0.073,UN_Comtrade_HS2709_2023
NGA,CAN,0.072,UN_Comtrade_HS2709_2023
USA,DNK,0.063,UN_Comtrade_HS2709_2023
NGA,GBR,0.062,UN_Comtrade_HS2709_2023
