period,igrea_index
1968-01,-12.705
1968-02,-9.382
1968-03,-11.216
1968-04,-11.34
1968-05,-10.605
1968-06,-7.654
1968-07,-12.282
1968-08,-15.91
1968-09,-15.139
1968-10,-20.066
1968-11,-8.815
1968-12,-16.495
1969-01,-18.856
1969-02,-18.064
1969-03,-16.945
1969-04,-22.786
1969-05,-27.68
1969-06,-18.708
1969-07,-26.497
1969-08,-21.905
1969-09,-14.345
1969-10,-6.581
1969-11,-0.886
1969-12,3.768
1970-01,25.3
1970-02,39.551
1970-03,53.634
1970-04,54.947
1970-05,56.494
1970-06,51.994
1970-07,47.574
1970-08,53.495
1970-09,58.82
1970-10,59.263
1970-11,54.123
1970-12,16.466
1971-01,7.681
1971-02,-16.268
1971-03,-18.018
1971-04,-23.274
1971-05,-29.999
1971-06,-53.589
1971-07,-59.806
1971-08,-63.756
1971-09,-50.317
1971-10,-60.04
1971-11,-43.802
1971-12,-48.275
1972-01,-60.27
1972-02,-67.125
1972-03,-69.698
1972-04,-60.494
1972-05,-64.439
1972-06,-67.178
1972-07,-56.985
1972-08,-63.348
1972-09,-9.003
1972-10,-6.11
1972-11,-4.966
1972-12,9.035
1973-01,20.511
1973-02,29.257
1973-03,38.373
1973-04,42.774
1973-05,50.052
1973-06,57.511
1973-07,58.978
1973-08,69.498
1973-09,80.927
1973-10,106.852
1973-11,103.883
1973-12,113.889
1974-01,105.421
1974-02,88.482
1974-03,98.069
1974-04,86.095
1974-05,103.853
1974-06,82.185
1974-07,61.883
1974-08,58.519
1974-09,60.269
1974-10,61.424
1974-11,58.84
1974-12,21.678
1975-01,-0.886
1975-02,-9.832
1975-03,-26.634
1975-04,-41.387
1975-05,-44.051
1975-06,-36.906
1975-07,-41.889
1975-08,-45.6
1975-09,-34.39
1975-10,-33.98
1975-11,-24.082
1975-12,-35.704
1976-01,-46.008
1976-02,-50.267
1976-03,-32.537
1976-04,-28.948
1976-05,-19.353
1976-06,-16.224
1976-07,-21.533
1976-08,-24.017
1976-09,-24.749
1976-10,-20.838
1976-11,-19.408
1976-12,-35.81
1977-01,-49.191
1977-02,-45.102
1977-03,-45.439
1977-04,-43.56
1977-05,-35.812
1977-06,-40.587
1977-07,-44.383
1977-08,-47.089
1977-09,-47.249
1977-10,-33.019
1977-11,-33.499
1977-12,-38.07
1978-01,-38.543
1978-02,-38.853
1978-03,-39.319
1978-04,-39.937
1978-05,-22.836
1978-06,-17.271
1978-07,-25.875
1978-08,-26.316
1978-09,-14.05
1978-10,-18.087
1978-11,-4.065
1978-12,-7.067
1979-01,-16.345
1979-02,-10.893
1979-03,7.007
1979-04,8.987
1979-05,28.791
1979-06,46.076
1979-07,54.102
1979-08,37.007
1979-09,43.576
1979-10,43.503
1979-11,49.015
1979-12,35.204
1980-01,34.582
1980-02,39.938
1980-03,41.916
1980-04,60.249
1980-05,63.407
1980-06,56.647
1980-07,44.535
1980-08,53.29
1980-09,54.54
1980-10,54.426
1980-11,64.253
1980-12,67.893
1981-01,63.585
1981-02,61.398
1981-03,49.876
1981-04,45.527
1981-05,35.459
1981-06,40.715
1981-07,32.367
1981-08,14.774
1981-09,12.701
1981-10,15.235
1981-11,14.268
1981-12,7.325
1982-01,2.75
1982-02,-6.591
1982-03,2.635
1982-04,10.583
1982-05,7.436
1982-06,-16.905
1982-07,-41.204
1982-08,-43.548
1982-09,-27.742
1982-10,-27.175
1982-11,-24.58
1982-12,-19.827
1983-01,-17.797
1983-02,-12.921
1983-03,-10.03
1983-04,-7.341
1983-05,-7.546
1983-06,-22.482
1983-07,-33.737
1983-08,-34.78
1983-09,-31.762
1983-10,-28.793
1983-11,-21.415
1983-12,-31.737
1984-01,-29.87
1984-02,-23.239
1984-03,-18.99
1984-04,-15.018
1984-05,-15.653
1984-06,-24.505
1984-07,-29.394
1984-08,-28.545
1984-09,-25.4
1984-10,-24.128
1984-11,-16.582
1984-12,-19.74
1985-01,-23.295
1985-02,-27.624
1985-03,-25.894
1985-04,-20.91
1985-05,-24.932
1985-06,-34.436
1985-07,-50.18
1985-08,-57.639
1985-09,-50.089
1985-10,-37.018
1985-11,-36.197
1985-12,-36.045
1986-01,-37.798
1986-02,-51.75
1986-03,-55.392
1986-04,-61.555
1986-05,-66.391
1986-06,-69.351
1986-07,-80.975
